Year,Sex,Control,race,rate
2012,Male,Public,Asian,28.18266294968804
2012,Male,Public,Black,11.4332462038829
2012,Male,Public,Hispanic,17.6110703999727
2012,Male,Public,White,25.0743453558742
2013,Male,Public,Total,22.877386776077
2013,Male,Public,Asian,28.43531937734836
2013,Male,Public,Black,13.0293159609121
2013,Male,Public,Hispanic,18.9768044663033
2013,Male,Public,White,26.897479032872
2014,Male,Public,Total,24.39898432104
2014,Male,Public,Asian,29.73515248796148
2014,Male,Public,Black,14.4267060505896
2014,Male,Public,Hispanic,20.2144402911666
2014,Male,Public,White,28.6972311089532
2015,Male,Public,Total,26.1383756376229
2015,Male,Public,Asian,32.89601240871195
2015,Male,Public,Black,15.6715295533163
2015,Male,Public,Hispanic,21.8219861580557
2015,Male,Public,White,30.4831593082847
2016,Male,Public,Total,27.2302735283702
2016,Male,Public,Asian,33.82635802878557
2016,Male,Public,Black,16.6455810590999
2016,Male,Public,Hispanic,22.3830333787573
2016,Male,Public,White,32.0791869574423
2017,Male,Public,Total,28.0622408873095
2017,Male,Public,Asian,35.4905909311853
2017,Male,Public,Black,17.1093852836646
2017,Male,Public,Hispanic,22.6651355220312
2017,Male,Public,White,33.205414249591
2018,Male,Public,Total,28.946247144127
2018,Male,Public,Asian,37.6901297162047
2018,Male,Public,Black,17.9256134969325
2018,Male,Public,Hispanic,23.2460028736511
2018,Male,Public,White,34.3477819352117
2019,Male,Public,Total,28.8582513612558
2019,Male,Public,Asian,38.3579901372784
2019,Male,Public,Black,17.9854072623002
2019,Male,Public,Hispanic,22.9130133655561
2019,Male,Public,White,34.5095556067235
2000,Male,Private Nonprofit,Total,49.5437199269952
2000,Male,Private Nonprofit,Black,31.6688567674113
2000,Male,Private Nonprofit,Hispanic,54.3259557344064
2000,Male,Private Nonprofit,White,49.2644937986732
2005,Male,Private Nonprofit,Total,44.4794952681388
2005,Male,Private Nonprofit,Black,38.6882129277567
2005,Male,Private Nonprofit,Hispanic,42.9203539823009
2005,Male,Private Nonprofit,White,49.1727941176471
2008,Male,Private Nonprofit,Total,49.8438042346407
2008,Male,Private Nonprofit,Asian,46.30541871921182
2008,Male,Private Nonprofit,Black,47.311271975181
2008,Male,Private Nonprofit,Hispanic,49.4137353433836
2008,Male,Private Nonprofit,White,53.76055257099
2009,Male,Private Nonprofit,Total,53.649373881932
2009,Male,Private Nonprofit,Asian,47.74774774774775
2009,Male,Private Nonprofit,Black,50.9803921568627
2009,Male,Private Nonprofit,Hispanic,58.1954887218045
2009,Male,Private Nonprofit,White,57.5125208681135
2010,Male,Private Nonprofit,Total,46.1507456670697
2010,Male,Private Nonprofit,Asian,48.82629107981221
2010,Male,Private Nonprofit,Black,42.494996664443
2010,Male,Private Nonprofit,Hispanic,52.1042084168337
2010,Male,Private Nonprofit,White,49.4464944649446
2011,Male,Private Nonprofit,Total,45.7123411978221
2011,Male,Private Nonprofit,Asian,42.76729559748428
2011,Male,Private Nonprofit,Black,38.0055788005579
2011,Male,Private Nonprofit,Hispanic,48.8938053097345
2011,Male,Private Nonprofit,White,52.0065970313359
2012,Male,Private Nonprofit,Total,57.4046130631602
2012,Male,Private Nonprofit,Asian,55.21885521885523
2012,Male,Private Nonprofit,Black,42.6862925482981
2012,Male,Private Nonprofit,Hispanic,58.3333333333333
2012,Male,Private Nonprofit,White,65.4569595043151
2013,Male,Private Nonprofit,Total,56.3010935343455
2013,Male,Private Nonprofit,Asian,73.7864077669903
2013,Male,Private Nonprofit,Black,39.6775638154948
2013,Male,Private Nonprofit,Hispanic,58.5127201565558
