"year","sex","institution_level","num","percent"
2012,"Total","Total",66.2160837698441,1.5865
2013,"Female","2-year",23.0487778156386,2.14648
2013,"Male","2-year",24.5475789517355,2.1432
2013,"Total","2-year",23.8161015197659,1.44184
2013,"Female","4-year",45.3295070925365,2.20983
2013,"Male","4-year",38.9753085588776,2.47957
2013,"Total","4-year",42.0764223181917,1.76102
2013,"Female","Total",68.378284908175,2.1716
2013,"Male","Total",63.5228874450097,2.20146
2013,"Total","Total",65.8925237170472,1.58116
2014,"Female","2-year",28.0211185041674,2.34887
2014,"Male","2-year",21.1869146015752,2.07151
2014,"Total","2-year",24.6304563182796,1.56033
2014,"Female","4-year",44.6247975310291,2.56565
2014,"Male","4-year",42.8471694315978,2.68969
2014,"Total","4-year",43.7428606641722,1.81171
2014,"Female","Total",72.6459158967857,2.50306
2014,"Male","Total",64.0340840331731,2.31514
2014,"Total","Total",68.3733170852777,1.67128
2015,"Female","2-year",26.154550693896,2.075013871
2015,"Male","2-year",24.2950600203463,1.998244653
2015,"Total","2-year",25.2462349964084,1.47654524
2015,"Female","4-year",46.3825612971176,2.422473525
2015,"Male","4-year",41.4900468064277,2.273368536
2015,"Total","4-year",43.9926876745758,1.612844056
2015,"Female","Total",72.5371120107962,2.1799827
2015,"Male","Total",65.785106826774,2.274723413
2015,"Total","Total",69.2389226668302,1.542149477
2016,"Female","2-year",22.2635077197434,1.98562867980463
2016,"Male","2-year",25.2808470512628,2.26114351911218
2016,"Total","2-year",23.7223875755522,1.56388537686194
2016,"Female","4-year",49.6401040942907,2.46422280225725
2016,"Male","4-year",42.207151011368,2.46932451299593
2016,"Total","4-year",46.0462804203762,1.84559826762875
2016,"Female","Total",71.9036118140342,2.39904431244074
2016,"Male","Total",67.4879980626308,2.12055126816845
2016,"Total","Total",69.7686679959284,1.64343886878435
2017,"Female","2-year",21.3643284737905,2.09290993767122
2017,"Male","2-year",23.923029983229,2.35547070579422
2017,"Total","2-year",22.5637628279093,1.49764861500261
2017,"Female","4-year",50.2934270439764,2.69534293780537
2017,"Male","4-year",37.1950435393784,2.32268294593215
2017,"Total","4-year",44.1533395422165,1.8315055890049
2017,"Female","Total",71.657755517767,2.28839293073713
2017,"Male","Total",61.1180735226074,2.56835177450355
2017,"Total","Total",66.7171023701258,1.68302121233157
2018,"Female","2-year",26.1346995613224,2.18881143242888
2018,"Male","2-year",24.8770732906531,1.91610419196327
2018,"Total","2-year",25.5026784477379,1.53792192035445
2018,"Female","4-year",45.2242950409045,2.74573503758628
2018,"Male","4-year",42.0429043516945,2.22861206901442
2018,"Total","4-year",43.6254845412863,1.75951609658376
2018,"Female","Total",71.3589946022268,2.32343240045397
2018,"Male","Total",66.9199776423476,2.2242950539636
2018,"Total","Total",69.1281629890243,1.62059624253906
2019,"Female","2-year",20.915859947002,1.96846392782841
2019,"Male","2-year",22.7684406012339,1.95475949151402
2019,"Total","2-year",21.7818475493053,1.46435221750372
2019,"Female","4-year",48.8975390217242,2.50497039937734
2019,"Male","4-year",39.237862384073,2.37179001482553
2019,"Total","4-year",44.3821295623001,1.6746110130456
2019,"Female","Total",69.8133989687263,2.22932906972482
2019,"Male","Total",62.006302985307,2.39630094267458
2019,"Total","Total",66.1639771116054,1.80475035022171
2020,"Female","2-year",20.6180113343889,2.36988863057343
2020,"Male","2-year",19.2271769367341,2.12090540951731
2020,"Total","2-year",19.9126898657821,1.70687972753316
2020,"Female","4-year",45.59096345648,2.56542504223899
2020,"Male","4-year",40.0993669533956,2.60080217464686
2020,"Total","4-year",42.8060590012243,1.86045780872837
2020,"Female","Total",66.2089747908689,2.48341131800215
2020,"Male","Total",59.3265438901298,2.45470544964714
2020,"Total","Total",62.7187488670065,1.76486842710978
2021,"Female","2-year",18.2087766870742,2.09620423411238
2021,"Male","2-year",18.8364012216434,2.19177009533419
2021,"Total","2-year",18.5406392929143,1.50204130642745
2021,"Female","4-year",51.318185403243,3.12695196284956
2021,"Male","4-year",36.0699771419528,2.66315088274241
2021,"Total","4-year",43.2555462786321,2.10313842706005
2021,"Female","Total",69.5269620903173,2.56920750342759
2021,"Male","Total",54.9063783635963,2.59368802100381
2021,"Total","Total",61.7961855715465,1.85951435147915
2022,"Female","2-year",15.3029785751391,1.76538785104412
2022,"Male","2-year",18.7941936720474,2.39010392116605
2022,"Total","2-year",16.8868920148416,1.38303987957853
2022,"Female","4-year",50.7319688192845,2.92390200337577
2022,"Male","4-year",38.4214650067122,2.87330921353336
2022,"Total","4-year",45.1468725427733,2.11830392476445
2022,"Female","Total",66.0349473944236,2.66273663463627
2022,"Male","Total",57.2156586787596,3.03127563651356
